"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,564","1.7%","21.1%","64.2%","13.1%","93,236","1.5%","4.4%","31.6%","14.3%","8.2%","20.7%","19.4%","94.2%","40.1%","21,810","95.0%","45.9%","15,438","97.5%","47.4%","36,115","95.8%","38.1%","19,873","87.6%","31.5%","","11.0%","9.3%","7.0%","7.2%","","36,145","16,128","28,003","35,398","37,394","61,123","","10.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,035","1.0%","24.4%","63.2%","11.4%","47,465","1.1%","4.8%","34.2%","13.7%","7.3%","17.8%","21.1%","94.1%","38.9%","12,056","95.2%","40.0%","8,119","97.2%","45.6%","18,242","95.9%","36.0%","9,048","86.3%","37.4%","","12.3%","10.5%","8.9%","8.8%","","41,209","21,970","31,422","42,147","44,944","68,801","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,529","2.4%","17.2%","65.4%","15.0%","45,771","1.9%","4.0%","28.8%","15.0%","9.2%","23.7%","17.5%","94.2%","41.2%","9,754","94.8%","53.3%","7,319","97.9%","49.4%","17,873","95.7%","40.2%","10,825","88.6%","26.5%","","9.7%","7.8%","5.3%","5.6%","","32,066","12,719","21,842","31,457","35,820","53,404","","(X)"
"Statesboro, GA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,488","8.8%","13.2%","68.6%","9.4%","37,959","4.0%","8.8%","31.2%","20.0%","6.8%","18.4%","10.8%","87.2%","29.2%","9,155","93.4%","37.9%","6,841","97.7%","29.5%","14,471","84.8%","28.1%","7,492","74.7%","20.7%","","31.1%","19.7%","22.6%","8.2%","","26,585","14,871","19,688","26,292","35,646","51,478","","5.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,820","13.8%","12.2%","67.5%","6.4%","18,017","4.6%","8.3%","31.7%","21.0%","4.8%","19.2%","10.3%","87.1%","29.5%","4,633","91.0%","36.5%","3,020","98.2%","30.6%","7,038","85.7%","28.5%","3,326","74.2%","20.7%","","26.2%","18.4%","9.2%","7.4%","","36,036","20,825","21,870","36,148","37,212","63,743","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,668","3.7%","14.2%","69.6%","12.5%","19,942","3.5%","9.2%","30.7%","19.0%","8.6%","17.8%","11.3%","87.3%","29.0%","4,522","95.8%","39.2%","3,821","97.3%","28.7%","7,433","83.9%","27.7%","4,166","75.0%","20.6%","","35.3%","21.0%","33.8%","9.0%","","19,399","13,072","15,663","19,808","26,447","37,703","","(X)"
"Staunton-Waynesboro, VA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,736","12.1%","45.1%","33.8%","9.1%","86,399","4.2%","8.3%","34.3%","20.3%","7.4%","15.6%","9.9%","87.6%","25.6%","15,025","95.3%","36.1%","13,575","92.4%","29.5%","34,810","86.4%","22.6%","22,989","81.5%","20.8%","","17.0%","10.0%","8.5%","5.0%","","31,799","16,335","26,838","34,214","39,407","46,630","","9.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,340","16.1%","50.2%","32.1%","1.6%","41,868","5.0%","7.9%","35.8%","21.0%","5.8%","13.9%","10.5%","87.1%","24.5%","8,128","93.2%","30.2%","6,723","91.1%","27.0%","17,027","86.7%","19.2%","9,990","80.3%","27.1%","","11.7%","7.5%","5.3%","5.8%","","36,200","25,447","34,311","40,379","41,490","43,970","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,396","8.9%","40.9%","35.1%","15.1%","44,531","3.4%","8.6%","33.0%","19.6%","8.9%","17.2%","9.4%","88.0%","26.6%","6,897","97.7%","43.0%","6,852","93.7%","32.0%","17,783","86.1%","25.9%","12,999","82.4%","15.9%","","21.9%","12.5%","11.2%","4.4%","","28,168","10,037","21,451","30,236","34,768","47,938","","(X)"
"Stevens Point, WI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,411","9.4%","24.8%","57.0%","8.7%","44,220","2.7%","5.3%","33.0%","17.3%","11.4%","19.5%","10.8%","92.0%","30.3%","7,947","96.4%","37.3%","7,254","94.2%","35.5%","18,795","91.6%","28.2%","10,224","87.8%","24.8%","","37.6%","9.6%","8.0%","3.7%","","34,587","17,625","30,807","32,462","40,670","55,124","","3.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,349","10.5%","30.3%","49.6%","9.6%","21,874","2.7%","6.0%","34.2%","16.0%","12.0%","19.6%","9.5%","91.3%","29.2%","4,172","95.4%","36.2%","3,660","91.7%","34.2%","9,406","90.2%","25.6%","4,636","89.6%","26.1%","","40.8%","9.6%","8.6%","1.3%","","39,029","19,000","34,351","37,469","47,068","58,468","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,062","8.3%","19.2%","64.8%","7.7%","22,346","2.6%","4.7%","31.9%","18.5%","10.9%","19.4%","12.0%","92.7%","31.3%","3,775","97.5%","38.6%","3,594","96.7%","36.9%","9,389","92.9%","30.8%","5,588","86.3%","23.8%","","34.0%","9.7%","7.5%","5.9%","","30,630","14,032","26,066","26,918","35,279","51,487","","(X)"
"Stillwater, OK Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,649","5.7%","14.6%","70.7%","8.9%","43,166","2.4%","6.8%","25.6%","24.2%","5.3%","16.6%","19.1%","90.8%","35.7%","11,370","91.3%","42.0%","8,134","94.9%","48.6%","14,873","91.0%","30.2%","8,789","86.1%","24.9%","","26.5%","13.9%","14.8%","11.7%","","31,424","20,670","22,779","32,283","31,933","42,109","","16.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,764","8.3%","19.3%","67.2%","5.1%","21,991","2.5%","6.4%","24.1%","25.1%","4.5%","16.5%","21.0%","91.2%","37.5%","6,758","89.7%","42.0%","4,217","93.5%","47.9%","7,259","91.4%","30.7%","3,757","90.7%","30.8%","","22.5%","7.1%","15.2%","16.2%","","38,821","21,830","36,433","45,723","31,602","46,439","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,885","3.2%","10.0%","74.2%","12.6%","21,175","2.4%","7.1%","27.2%","23.3%","6.1%","16.8%","17.1%","90.4%","33.8%","4,612","93.5%","42.0%","3,917","96.4%","49.4%","7,614","90.6%","29.7%","5,032","82.6%","20.5%","","30.0%","19.7%","14.3%","6.6%","","25,296","12,778","16,604","25,608","32,160","37,014","","(X)"
"Stockton-Lodi, CA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","73,538","17.0%","30.3%","46.6%","6.2%","443,036","12.0%","10.4%","28.0%","22.8%","8.5%","12.2%","6.1%","77.6%","18.3%","96,533","80.1%","14.5%","91,938","78.3%","20.4%","170,267","77.6%","18.6%","84,298","74.0%","19.8%","","30.1%","16.8%","12.9%","6.9%","","33,417","20,143","29,948","35,800","52,091","70,378","","8.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,055","18.1%","33.0%","43.0%","5.9%","216,176","11.8%","11.6%","29.8%","22.2%","7.3%","11.1%","6.2%","76.6%","17.3%","49,129","78.5%","11.5%","45,538","77.6%","17.9%","84,267","75.5%","15.9%","37,242","75.6%","27.2%","","27.6%","15.0%","11.0%","6.0%","","38,658","23,292","35,256","47,016","63,463","85,407","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,483","15.8%","27.3%","50.4%","6.5%","226,860","12.1%","9.4%","26.2%","23.3%","9.7%","13.3%","6.0%","78.5%","19.3%","47,404","81.7%","17.6%","46,400","79.0%","22.9%","86,000","79.6%","21.3%","47,056","72.7%","14.0%","","32.6%","18.7%","14.5%","7.5%","","26,989","12,882","21,650","27,197","49,078","65,261","","(X)"
"Sumter, SC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,096","13.3%","27.1%","52.9%","6.7%","69,148","7.6%","14.2%","29.6%","23.8%","8.0%","10.1%","6.6%","78.2%","16.7%","12,908","83.8%","15.9%","13,421","80.8%","18.2%","27,331","83.6%","17.4%","15,488","61.6%","14.8%","","35.9%","23.3%","17.7%","4.6%","","26,094","17,504","22,947","27,054","43,074","55,072","","6.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,685","18.7%","22.6%","52.3%","6.4%","31,817","7.9%","14.7%","30.9%","23.1%","8.9%","8.9%","5.6%","77.5%","14.5%","5,920","86.0%","15.7%","6,797","77.8%","20.0%","12,581","80.4%","10.3%","6,519","63.6%","16.0%","","33.8%","25.8%","12.7%","2.8%","","35,354","22,877","26,736","39,186","55,417","77,139","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,411","6.5%","32.7%","53.8%","6.9%","37,331","7.5%","13.8%","28.6%","24.5%","7.3%","11.1%","7.4%","78.8%","18.5%","6,988","81.9%","16.0%","6,624","83.9%","16.3%","14,750","86.3%","23.4%","8,969","60.2%","13.9%","","37.8%","21.1%","21.9%","5.9%","","21,822","10,728","20,941","22,195","29,239","50,921","","(X)"
"Sunbury, PA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,335","23.7%","41.7%","27.5%","7.1%","68,173","5.7%","10.4%","51.6%","11.8%","5.9%","8.5%","6.1%","83.9%","14.5%","11,419","85.8%","19.6%","10,802","85.1%","22.9%","27,344","84.9%","13.9%","18,608","80.6%","7.5%","","30.1%","13.1%","11.3%","3.9%","","30,509","25,102","25,955","34,057","41,508","47,081","","12.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,222","27.9%","48.6%","17.0%","6.5%","33,932","6.6%","11.7%","52.6%","13.0%","5.0%","6.9%","4.2%","81.7%","11.1%","6,253","81.2%","13.7%","5,645","81.2%","14.9%","13,977","80.6%","10.5%","8,057","84.2%","7.5%","","34.2%","12.7%","13.4%","7.5%","","34,295","27,977","32,196","41,724","45,128","40,709","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,113","17.9%","32.4%","41.8%","7.9%","34,241","4.7%","9.2%","50.7%","10.7%","6.8%","10.0%","8.0%","86.1%","18.0%","5,166","91.4%","26.8%","5,157","89.3%","31.7%","13,367","89.4%","17.5%","10,551","77.8%","7.6%","","24.7%","13.4%","9.2%","1.8%","","25,520","20,750","20,216","26,482","40,979","51,000","","(X)"
"Syracuse, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,835","9.0%","21.7%","57.9%","11.3%","443,523","3.4%","7.1%","28.6%","18.0%","12.1%","17.5%","13.3%","89.5%","30.8%","82,584","90.5%","36.3%","75,341","89.5%","32.5%","185,177","92.3%","31.5%","100,421","83.6%","23.8%","","31.2%","14.4%","11.4%","4.8%","","37,439","19,998","29,258","34,238","49,238","60,201","","6.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","36,698","10.3%","24.4%","56.3%","8.9%","212,328","3.6%","7.8%","30.1%","17.4%","10.3%","18.3%","12.5%","88.6%","30.8%","41,441","89.3%","33.9%","36,634","87.4%","30.0%","90,207","92.2%","30.9%","44,046","81.7%","28.6%","","25.4%","12.5%","8.8%","4.6%","","42,161","23,974","32,332","40,811","57,132","70,748","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,137","7.7%","19.1%","59.5%","13.6%","231,195","3.3%","6.4%","27.2%","18.6%","13.7%","16.8%","14.0%","90.4%","30.8%","41,143","91.7%","38.8%","38,707","91.4%","34.9%","94,970","92.5%","32.1%","56,375","85.1%","20.1%","","37.5%","16.3%","13.4%","4.9%","","31,939","14,471","24,187","28,731","41,375","54,740","","(X)"
"Terre Haute, IN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,540","10.3%","31.5%","53.5%","4.6%","112,878","2.3%","9.2%","38.7%","21.8%","9.9%","11.2%","7.0%","88.5%","18.2%","21,658","90.6%","19.9%","21,289","89.7%","18.9%","43,875","90.4%","18.6%","26,056","82.5%","15.5%","","27.2%","12.2%","15.6%","6.5%","","30,846","16,946","28,261","29,072","42,041","49,904","","6.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,878","12.6%","32.6%","52.6%","2.2%","56,253","2.8%","9.8%","39.5%","23.0%","6.8%","10.2%","7.9%","87.4%","18.2%","12,128","86.6%","18.8%","11,141","90.8%","17.5%","21,640","88.1%","17.3%","11,344","83.7%","19.9%","","23.9%","10.1%","12.4%","4.1%","","40,169","24,190","36,710","40,109","60,320","51,695","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,662","8.0%","30.4%","54.5%","7.1%","56,625","1.9%","8.5%","37.9%","20.6%","12.9%","12.2%","6.0%","89.6%","18.2%","9,530","95.7%","21.4%","10,148","88.4%","20.4%","22,235","92.7%","20.0%","14,712","81.6%","12.0%","","30.4%","14.3%","18.1%","8.7%","","22,468","11,101","19,070","22,200","36,188","45,568","","(X)"
"Talladega-Sylacauga, AL Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,755","25.5%","34.5%","36.1%","3.9%","62,686","8.3%","10.3%","39.2%","22.7%","7.5%","8.0%","3.9%","81.4%","11.9%","9,678","85.0%","12.2%","12,924","85.1%","15.7%","24,743","85.6%","13.8%","15,341","69.1%","5.3%","","29.9%","20.7%","10.6%","4.6%","","27,343","17,145","24,355","26,211","43,627","51,245","","7.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,580","38.8%","33.1%","22.9%","5.2%","30,320","9.7%","11.7%","40.9%","22.1%","6.2%","6.7%","2.6%","78.6%","9.3%","4,644","74.6%","8.2%","6,965","80.8%","11.1%","11,834","83.4%","12.4%","6,877","70.7%","2.9%","","29.3%","14.5%","12.2%","6.1%","","32,663","26,861","30,098","32,921","60,707","65,114","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,175","11.0%","36.0%","50.6%","2.4%","32,366","7.0%","9.0%","37.7%","23.2%","8.8%","9.2%","5.1%","84.0%","14.3%","5,034","94.7%","15.8%","5,959","90.2%","21.1%","12,909","87.6%","15.2%","8,464","67.8%","7.3%","","30.7%","26.7%","9.3%","3.7%","","21,749","9,646","19,940","21,262","38,504","46,793","","(X)"
"Tallahassee, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72,359","10.2%","15.5%","63.2%","11.0%","229,868","3.7%","7.2%","24.2%","19.9%","8.7%","22.2%","14.2%","89.1%","36.4%","52,425","89.4%","38.0%","42,162","90.3%","40.8%","89,543","90.2%","35.4%","45,738","85.8%","32.5%","","37.9%","20.3%","15.7%","5.1%","","34,694","16,955","24,947","30,721","44,635","55,348","","9.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,357","12.7%","17.2%","58.5%","11.5%","112,586","3.6%","8.4%","26.3%","18.1%","8.0%","21.8%","13.9%","88.1%","35.7%","26,543","87.1%","31.8%","21,459","88.4%","38.7%","44,528","88.2%","34.4%","20,056","88.7%","40.8%","","31.5%","17.1%","13.6%","4.6%","","36,922","24,986","26,588","32,274","50,570","65,554","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,002","8.0%","14.0%","67.5%","10.5%","117,282","3.8%","6.0%","22.1%","21.6%","9.4%","22.6%","14.5%","90.2%","37.1%","25,882","91.7%","44.4%","20,703","92.2%","42.9%","45,015","92.1%","36.5%","25,682","83.6%","26.0%","","44.7%","23.9%","17.4%","5.5%","","31,979","12,330","21,562","29,278","41,041","47,635","","(X)"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","241,044","16.1%","32.0%","43.1%","8.8%","2,076,642","4.0%","7.8%","29.2%","21.4%","10.1%","17.9%","9.7%","88.2%","27.5%","369,669","90.1%","31.2%","362,115","89.1%","31.5%","799,706","89.5%","27.4%","545,152","84.4%","22.7%","","27.6%","16.2%","11.2%","5.7%","","33,752","19,795","26,466","31,897","46,019","60,195","","8.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","120,870","18.2%","34.1%","41.8%","5.8%","984,963","4.4%","8.4%","29.2%","20.5%","9.3%","18.2%","10.0%","87.2%","28.2%","181,580","88.2%","27.0%","177,030","87.5%","29.3%","383,981","88.4%","28.1%","242,372","84.4%","28.5%","","24.8%","14.7%","8.3%","5.0%","","37,331","21,906","29,954","36,645","52,955","80,116","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","120,174","13.9%","29.9%","44.4%","11.8%","1,091,679","3.7%","7.2%","29.1%","22.2%","10.9%","17.6%","9.3%","89.1%","26.9%","188,089","91.9%","35.2%","185,085","90.7%","33.5%","415,725","90.6%","26.7%","302,780","84.3%","18.1%","","30.5%","17.5%","13.6%","6.3%","","30,695","15,941","23,703","29,609","40,741","47,143","","(X)"
"Texarkana, TX-AR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,184","13.2%","45.9%","39.1%","1.7%","99,531","4.9%","9.9%","35.8%","27.6%","6.2%","9.8%","5.9%","85.2%","15.7%","17,581","88.6%","11.2%","20,510","87.1%","17.5%","38,392","84.7%","16.6%","23,048","81.9%","15.9%","","31.3%","15.9%","13.7%","4.8%","","28,271","23,161","26,447","26,602","46,789","51,561","","5.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,248","14.7%","46.1%","36.3%","2.9%","48,464","5.7%","9.9%","38.3%","26.3%","6.2%","8.4%","5.2%","84.4%","13.6%","9,240","85.8%","9.0%","10,265","85.1%","11.6%","19,144","83.8%","14.2%","9,815","83.3%","18.8%","","27.0%","12.9%","7.7%","6.0%","","35,484","26,490","31,625","40,044","54,770","52,149","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,936","11.5%","45.8%","42.5%","0.3%","51,067","4.0%","9.9%","33.3%","28.8%","6.3%","11.1%","6.5%","86.1%","17.6%","8,341","91.7%","13.5%","10,245","89.0%","23.4%","19,248","85.6%","18.9%","13,233","80.9%","13.7%","","35.1%","18.8%","18.7%","3.8%","","23,524","16,962","18,166","23,129","32,060","51,150","","(X)"
"The Villages, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,715","22.8%","49.2%","23.8%","4.2%","102,150","2.9%","6.8%","32.6%","22.3%","7.7%","15.5%","12.2%","90.3%","27.7%","6,688","82.8%","5.3%","7,155","86.9%","2.8%","28,082","88.2%","33.2%","60,225","92.5%","30.6%","","20.8%","9.2%","5.3%","4.4%","","23,912","19,705","11,107","28,170","46,695","22,520","","8.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,940","28.8%","56.6%","14.6%","0.0%","51,542","3.1%","7.7%","31.6%","20.3%","5.5%","17.9%","13.9%","89.3%","31.8%","4,424","78.9%","5.9%","4,753","84.2%","0.0%","12,678","88.1%","30.7%","29,687","92.2%","41.2%","","20.0%","10.3%","4.9%","2.6%","","30,525","9,820","28,961","36,532","58,036","60,775","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,775","16.3%","41.1%","33.8%","8.8%","50,608","2.8%","5.9%","33.6%","24.2%","9.9%","13.1%","10.3%","91.3%","23.5%","2,264","90.3%","4.0%","2,402","92.4%","8.2%","15,404","88.3%","35.1%","30,538","92.8%","20.3%","","21.5%","8.4%","5.5%","6.8%","","19,852","21,110","7,913","25,848","45,663","5,992","","(X)"
"Toledo, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70,452","12.3%","27.3%","52.1%","8.3%","398,789","2.3%","7.5%","31.4%","21.9%","9.5%","16.3%","11.1%","90.2%","27.4%","78,934","90.4%","28.4%","71,995","92.3%","32.1%","159,672","92.4%","28.2%","88,188","84.4%","21.1%","","35.5%","15.2%","13.9%","5.1%","","33,278","16,743","26,454","31,082","47,334","60,823","","4.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,175","15.9%","28.2%","51.0%","5.0%","189,774","2.3%","8.3%","31.9%","22.1%","8.3%","16.5%","10.6%","89.4%","27.1%","39,127","88.7%","25.3%","35,982","90.8%","26.9%","76,750","91.9%","28.7%","37,915","83.6%","26.0%","","34.0%","15.3%","10.6%","3.7%","","40,877","20,489","31,707","39,440","60,294","74,422","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
