"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","10,044","27.4%","48.8%","20.4%","3.4%","132,698","3.3%","8.4%","36.7%","22.8%","7.9%","12.9%","8.1%","88.3%","21.0%","11,060","84.0%","13.2%","13,320","82.5%","14.1%","47,456","91.6%","22.3%","60,862","87.8%","22.9%","","24.0%","11.6%","12.6%","8.3%","","26,561","15,722","24,930","26,712","35,267","50,125","","9.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,369","28.7%","47.3%","20.5%","3.5%","63,623","4.1%","10.5%","33.7%","23.0%","6.4%","12.9%","9.4%","85.4%","22.3%","5,948","79.4%","13.8%","6,451","72.4%","16.2%","22,003","88.1%","20.2%","29,221","87.5%","26.9%","","25.4%","11.7%","10.0%","7.5%","","31,082","16,008","27,884","31,637","41,336","64,212","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,675","25.9%","50.5%","20.3%","3.3%","69,075","2.6%","6.4%","39.4%","22.6%","9.2%","13.0%","6.9%","91.0%","19.8%","5,112","89.3%","12.5%","6,869","92.0%","12.0%","25,453","94.7%","24.2%","31,641","88.1%","19.2%","","22.0%","11.6%","14.8%","9.1%","","23,337","14,607","20,831","23,975","33,097","40,910","","(X)"
"Quincy, IL-MO Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,318","13.8%","26.9%","52.4%","6.8%","52,726","2.8%","7.4%","36.7%","24.0%","7.6%","14.3%","7.3%","89.8%","21.6%","9,338","88.4%","27.2%","8,917","93.5%","29.7%","20,520","94.2%","19.0%","13,951","82.0%","16.6%","","32.0%","16.9%","11.1%","2.9%","","31,408","18,856","27,884","32,960","35,654","50,836","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,583","17.4%","32.8%","41.7%","8.1%","25,056","3.1%","9.8%","39.2%","20.7%","7.3%","12.5%","7.4%","87.2%","19.9%","4,794","87.7%","19.5%","4,538","92.9%","22.4%","9,799","90.7%","16.4%","5,925","76.5%","24.1%","","35.3%","16.3%","7.7%","3.9%","","37,024","27,083","32,162","40,533","41,501","70,053","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,735","10.4%","21.2%","62.7%","5.6%","27,670","2.5%","5.3%","34.4%","26.9%","7.8%","16.0%","7.2%","92.2%","23.1%","4,544","89.2%","35.3%","4,379","94.1%","37.3%","10,721","97.4%","21.3%","8,026","86.1%","11.0%","","27.0%","17.6%","13.6%","2.1%","","25,656","10,521","18,201","27,217","32,446","40,845","","(X)"
"Racine, WI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,163","23.0%","27.9%","41.6%","7.5%","132,836","4.0%","8.5%","32.1%","23.4%","8.7%","14.8%","8.6%","87.5%","23.4%","24,170","81.4%","19.9%","24,905","86.7%","27.5%","55,780","92.8%","25.5%","27,981","83.1%","18.7%","","25.4%","11.5%","9.4%","1.1%","","36,310","23,609","31,823","35,072","51,486","64,922","","7.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,571","27.4%","28.4%","38.8%","5.5%","63,854","4.9%","8.8%","33.2%","22.8%","7.9%","13.6%","8.7%","86.3%","22.3%","11,905","79.5%","15.5%","11,949","83.5%","23.0%","27,770","92.5%","26.1%","12,230","81.5%","19.6%","","20.0%","9.2%","7.0%","0.2%","","45,253","25,936","40,848","45,968","67,112","80,585","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,592","17.3%","27.4%","45.2%","10.1%","68,982","3.1%","8.2%","31.0%","23.9%","9.4%","15.9%","8.5%","88.7%","24.4%","12,265","83.2%","24.1%","12,956","89.6%","31.7%","28,010","93.2%","24.8%","15,751","84.3%","18.0%","","31.5%","13.6%","11.4%","1.8%","","30,474","21,355","22,731","29,344","42,016","56,844","","(X)"
"Raleigh, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","113,409","15.2%","25.3%","44.6%","14.9%","792,759","4.6%","5.4%","18.9%","19.1%","8.4%","28.0%","15.7%","90.0%","43.7%","170,078","90.3%","47.3%","190,592","90.4%","48.3%","307,922","91.6%","44.1%","124,167","85.1%","30.7%","","29.5%","12.8%","8.2%","3.1%","","39,388","17,273","25,536","32,441","50,578","66,152","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","58,880","19.0%","28.6%","40.1%","12.3%","376,657","5.4%","5.9%","18.6%","18.5%","8.2%","27.9%","15.5%","88.6%","43.3%","82,963","87.7%","42.8%","92,545","88.9%","44.8%","147,765","89.9%","44.3%","53,384","86.3%","38.7%","","24.8%","11.0%","7.1%","2.7%","","46,300","19,888","27,854","40,613","68,127","87,193","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","54,529","11.0%","21.7%","49.5%","17.8%","416,102","3.8%","5.0%","19.1%","19.6%","8.5%","28.1%","15.9%","91.2%","44.0%","87,115","92.9%","51.5%","98,047","91.7%","51.5%","160,157","93.1%","44.0%","70,783","84.2%","24.6%","","35.0%","14.4%","9.1%","3.6%","","33,712","13,013","21,588","29,570","41,095","51,574","","(X)"
"Rapid City, SD Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,630","11.6%","31.7%","51.6%","5.1%","94,996","2.2%","3.8%","31.5%","25.7%","12.3%","15.7%","8.8%","94.0%","24.5%","18,904","96.3%","23.2%","16,752","94.1%","25.7%","38,518","96.8%","23.4%","20,822","86.5%","26.6%","","10.8%","11.9%","11.1%","6.7%","","29,379","22,604","25,219","26,923","36,404","60,471","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,853","13.5%","33.1%","49.9%","3.5%","47,190","1.7%","4.3%","33.9%","23.1%","13.1%","14.9%","8.9%","94.0%","23.8%","9,541","94.4%","21.9%","8,713","93.9%","21.7%","19,267","97.1%","21.4%","9,669","87.4%","32.4%","","13.6%","11.3%","6.0%","6.3%","","36,455","21,455","26,885","36,133","42,684","62,414","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,777","9.2%","30.1%","53.7%","7.0%","47,806","2.6%","3.4%","29.1%","28.2%","11.5%","16.5%","8.6%","94.0%","25.1%","9,363","98.2%","24.5%","8,039","94.4%","30.1%","19,251","96.6%","25.4%","11,153","85.6%","21.6%","","8.2%","12.6%","15.6%","7.0%","","24,401","23,338","19,995","20,933","30,251","47,493","","(X)"
"Reading, PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","41,750","15.2%","33.9%","45.1%","5.8%","276,946","5.9%","9.7%","37.6%","15.8%","8.5%","14.3%","8.2%","84.4%","22.5%","47,836","88.1%","26.8%","49,414","84.6%","27.3%","115,233","86.5%","22.8%","64,463","77.7%","15.1%","","25.3%","10.6%","7.7%","3.0%","","36,864","23,137","31,803","35,729","50,473","59,995","","5.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,328","19.9%","33.5%","40.8%","5.8%","133,449","6.4%","10.3%","37.7%","15.5%","8.3%","14.2%","7.6%","83.3%","21.8%","23,495","87.0%","21.5%","24,608","83.0%","24.6%","57,127","85.2%","22.1%","28,219","76.7%","18.8%","","20.4%","8.8%","5.4%","2.3%","","43,074","31,269","39,550","46,363","57,845","83,386","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,422","10.3%","34.3%","49.5%","5.9%","143,497","5.5%","9.1%","37.6%","15.9%","8.7%","14.4%","8.7%","85.4%","23.1%","24,341","89.2%","32.0%","24,806","86.2%","30.0%","58,106","87.8%","23.3%","36,244","78.5%","12.2%","","30.5%","12.3%","9.7%","3.6%","","30,357","15,715","25,698","29,857","42,007","51,728","","(X)"
"Redding, CA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,601","8.8%","27.2%","58.3%","5.7%","123,565","3.7%","8.1%","26.4%","33.4%","11.0%","10.8%","6.5%","88.2%","17.3%","20,626","89.6%","16.6%","19,016","89.1%","17.7%","49,756","89.8%","19.7%","34,167","84.6%","14.1%","","23.8%","16.0%","15.7%","4.5%","","30,878","15,542","28,820","29,552","46,204","63,825","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,641","12.6%","36.8%","45.0%","5.5%","58,713","3.3%","9.7%","28.7%","32.1%","9.7%","10.4%","6.1%","87.0%","16.5%","10,362","87.2%","13.4%","9,245","87.0%","14.1%","23,650","88.1%","17.7%","15,456","85.2%","18.3%","","21.0%","12.1%","13.2%","3.4%","","39,296","21,358","35,874","36,416","60,817","82,989","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,960","4.7%","16.7%","72.6%","5.9%","64,852","4.1%","6.6%","24.3%","34.6%","12.3%","11.3%","6.9%","89.3%","18.1%","10,264","92.1%","19.8%","9,771","91.0%","21.1%","26,106","91.3%","21.6%","18,711","84.1%","10.7%","","26.9%","20.2%","17.7%","5.3%","","25,024","7,191","17,959","23,152","36,898","52,277","","(X)"
"Reno, NV Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,012","16.4%","29.6%","47.1%","6.9%","296,605","5.5%","7.4%","23.2%","27.1%","8.5%","18.7%","9.7%","87.1%","28.4%","61,556","85.3%","25.6%","54,831","84.5%","27.4%","117,436","89.4%","30.9%","62,782","86.9%","27.2%","","31.7%","12.4%","9.8%","4.9%","","33,464","21,295","28,529","31,620","50,175","64,856","","8.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,573","19.5%","34.3%","42.6%","3.7%","146,794","5.3%","7.7%","24.2%","26.3%","7.6%","18.5%","10.4%","87.0%","28.9%","31,802","85.1%","23.6%","27,532","82.4%","26.6%","58,031","89.0%","29.8%","29,429","89.6%","35.0%","","27.4%","10.4%","8.7%","5.0%","","39,315","22,478","33,698","39,110","55,402","80,824","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,439","13.2%","24.9%","51.6%","10.2%","149,811","5.7%","7.1%","22.2%","27.8%","9.4%","18.9%","9.0%","87.2%","27.9%","29,754","85.6%","27.8%","27,299","86.7%","28.2%","59,405","89.7%","31.9%","33,353","84.5%","20.4%","","35.9%","14.6%","10.7%","4.7%","","30,149","17,171","24,160","26,906","44,558","59,780","","(X)"
"Richmond, IN Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,118","22.4%","25.2%","50.3%","2.1%","46,504","4.6%","13.9%","36.2%","19.4%","7.1%","10.4%","8.3%","81.5%","18.8%","7,837","85.5%","12.0%","8,085","81.9%","19.3%","18,672","84.5%","23.5%","11,910","73.9%","15.4%","","40.6%","21.3%","18.4%","3.7%","","27,101","17,355","23,032","25,567","47,362","51,345","","5.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,822","13.0%","32.1%","52.8%","2.1%","21,745","5.2%","15.7%","36.2%","19.2%","7.8%","10.9%","4.9%","79.1%","15.8%","3,892","87.4%","11.7%","3,806","78.6%","11.7%","8,932","81.2%","18.2%","5,115","69.6%","17.8%","","35.4%","21.0%","16.0%","0.0%","","32,386","26,328","29,599","35,381","60,431","61,068","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,296","30.5%","19.3%","48.1%","2.1%","24,759","4.0%","12.4%","36.3%","19.6%","6.5%","10.0%","11.3%","83.7%","21.4%","3,945","83.7%","12.3%","4,279","84.9%","26.1%","9,740","87.7%","28.3%","6,795","77.2%","13.6%","","46.4%","21.6%","20.5%","6.0%","","21,841","15,543","17,348","20,283","44,489","50,707","","(X)"
"Richmond, VA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","119,461","11.9%","34.1%","41.8%","12.2%","846,326","4.4%","7.7%","27.0%","21.2%","7.2%","20.3%","12.2%","87.8%","32.5%","174,380","90.6%","34.0%","165,401","89.7%","35.4%","341,083","88.9%","33.5%","165,462","81.0%","25.7%","","25.5%","13.3%","10.4%","4.2%","","36,779","20,457","30,183","32,178","50,905","62,298","","9.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","60,059","14.3%","37.7%","37.9%","10.1%","399,422","4.7%","8.1%","28.7%","19.8%","6.2%","19.8%","12.6%","87.1%","32.4%","85,684","89.4%","29.8%","82,053","88.4%","33.1%","161,792","87.5%","33.1%","69,893","82.1%","33.2%","","19.4%","11.8%","7.9%","4.2%","","41,378","23,135","32,184","37,461","60,958","81,240","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,402","9.5%","30.4%","45.7%","14.4%","446,904","4.2%","7.4%","25.4%","22.4%","8.2%","20.7%","11.8%","88.5%","32.5%","88,696","91.7%","38.1%","83,348","91.0%","37.6%","179,291","90.1%","33.9%","95,569","80.2%","20.2%","","31.1%","14.7%","12.2%","4.3%","","32,182","15,333","26,620","30,019","41,800","51,031","","(X)"
"Richmond-Berea, KY Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,592","6.5%","28.2%","52.8%","12.5%","64,303","6.1%","8.2%","32.9%","19.0%","5.4%","16.5%","11.8%","85.7%","28.4%","12,337","94.4%","31.8%","13,014","89.8%","32.7%","25,608","86.0%","24.9%","13,344","73.2%","27.5%","","36.8%","16.9%","13.3%","6.4%","","32,134","20,952","25,225","36,428","38,707","55,283","","5.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,053","6.0%","37.5%","50.7%","5.7%","30,984","6.4%","8.4%","34.2%","20.9%","3.9%","14.9%","11.3%","85.2%","26.1%","6,048","94.6%","26.9%","6,659","85.3%","29.0%","12,330","87.8%","21.9%","5,947","70.3%","31.0%","","38.8%","14.5%","6.5%","3.3%","","41,017","31,392","32,010","45,313","51,022","62,163","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,539","6.9%","19.4%","54.8%","18.8%","33,319","5.8%","8.0%","31.7%","17.2%","6.8%","18.1%","12.3%","86.2%","30.4%","6,289","94.1%","36.5%","6,355","94.5%","36.6%","13,278","84.4%","27.8%","7,397","75.4%","24.7%","","34.7%","19.4%","19.8%","8.9%","","24,071","14,946","17,221","31,692","30,288","47,092","","(X)"
"Riverside-San Bernardino-Ontario, CA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","482,928","15.8%","35.9%","42.9%","5.3%","2,703,976","9.4%","11.0%","25.9%","25.4%","8.2%","12.9%","7.2%","79.6%","20.1%","605,010","84.1%","19.3%","565,293","78.1%","21.0%","1,031,040","78.6%","19.7%","502,633","77.9%","20.8%","","25.3%","16.3%","11.5%","5.6%","","32,132","20,604","28,183","35,802","49,205","67,013","","7.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","250,328","17.4%","40.4%","38.7%","3.5%","1,321,745","9.3%","12.0%","26.2%","24.8%","7.7%","12.9%","7.1%","78.7%","20.0%","307,613","82.1%","16.4%","279,366","76.3%","18.7%","507,833","77.5%","19.7%","226,933","79.8%","26.9%","","22.2%","14.0%","9.3%","5.2%","","38,133","24,671","31,612","43,893","57,537","75,737","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","232,600","14.1%","31.2%","47.5%","7.3%","1,382,231","9.6%","10.0%","25.6%","26.0%","8.6%","12.9%","7.3%","80.4%","20.2%","297,397","86.1%","22.3%","285,927","79.8%","23.2%","523,207","79.6%","19.8%","275,700","76.4%","15.8%","","28.3%","18.6%","13.5%","6.0%","","27,152","14,756","22,679","28,594","40,983","61,524","","(X)"
"Roanoke, VA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,837","14.6%","38.1%","40.7%","6.6%","219,361","5.1%","8.1%","29.8%","21.8%","8.2%","18.0%","9.1%","86.9%","27.1%","34,463","89.4%","30.5%","40,041","88.2%","29.4%","89,602","88.5%","26.7%","55,255","81.8%","24.1%","","28.6%","11.5%","9.2%","4.0%","","31,760","18,095","26,458","30,909","40,825","56,015","","5.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,224","15.1%","37.1%","40.6%","7.2%","102,909","4.5%","8.5%","31.0%","22.9%","6.2%","17.2%","9.6%","87.0%","26.8%","16,914","88.9%","28.0%","19,600","87.0%","25.7%","43,271","88.4%","25.0%","23,124","82.6%","30.2%","","22.9%","9.5%","8.4%","3.6%","","37,320","24,269","30,693","35,860","52,243","75,269","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,613","14.1%","38.9%","40.9%","6.1%","116,452","5.5%","7.7%","28.7%","20.8%","9.9%","18.6%","8.7%","86.8%","27.3%","17,549","89.8%","32.8%","20,441","89.3%","32.9%","46,331","88.5%","28.2%","32,131","81.1%","19.6%","","33.3%","13.5%","9.7%","4.4%","","26,948","15,362","22,147","26,697","35,759","47,791","","(X)"
"Roanoke Rapids, NC Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,468","27.8%","27.7%","41.9%","2.6%","51,520","8.7%","16.6%","32.6%","22.2%","7.7%","8.5%","3.6%","74.7%","12.1%","7,306","83.3%","10.2%","7,620","83.8%","13.2%","22,604","74.7%","14.2%","13,990","65.2%","9.4%","","46.4%","23.4%","24.0%","8.7%","","25,952","18,707","24,636","29,836","35,699","27,182","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,843","32.0%","33.4%","33.4%","1.3%","24,030","8.3%","19.7%","34.7%","19.3%","6.9%","7.1%","4.0%","71.9%","11.1%","3,494","74.4%","5.0%","4,052","80.6%","15.4%","10,767","73.1%","11.1%","5,717","62.1%","11.7%","","40.4%","18.7%","19.0%","5.8%","","31,236","23,720","27,446","33,448","51,089","26,554","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,625","23.4%","21.8%","50.8%","4.0%","27,490","9.0%","13.9%","30.8%","24.8%","8.4%","9.7%","3.3%","77.1%","13.1%","3,812","91.5%","14.9%","3,568","87.4%","10.6%","11,837","76.2%","16.9%","8,273","67.4%","7.8%","","52.7%","27.9%","27.2%","10.8%","","21,396","14,140","20,339","22,000","24,505","33,333","","(X)"
"Rochester, MN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,055","15.0%","29.0%","40.6%","15.4%","143,046","2.4%","3.4%","26.3%","21.3%","11.3%","22.0%","13.3%","94.2%","35.3%","28,660","96.9%","40.8%","26,318","94.7%","42.9%","57,373","95.5%","34.7%","30,695","88.7%","24.5%","","23.3%","9.2%","5.7%","1.9%","","40,193","15,081","30,213","35,446","51,452","69,726","","4.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,844","17.7%","38.1%","33.6%","10.6%","69,046","2.0%","3.8%","29.6%","21.6%","8.6%","19.8%","14.6%","94.3%","34.4%","14,176","96.4%","34.0%","13,364","94.4%","41.2%","28,018","95.5%","34.8%","13,488","89.3%","27.4%","","18.6%","8.8%","6.6%","1.7%","","46,386","20,307","35,562","40,732","61,666","84,175","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,211","12.3%","20.3%","47.2%","20.1%","74,000","2.8%","3.1%","23.2%","20.9%","13.9%","24.0%","12.0%","94.1%","36.0%","14,484","97.4%","47.5%","12,954","95.1%","44.7%","29,355","95.5%","34.7%","17,207","88.2%","22.2%","","27.5%","9.8%","5.0%","2.1%","","35,525","10,883","24,979","32,408","44,327","62,232","","(X)"
"Rochester, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","117,812","12.3%","24.3%","53.0%","10.4%","732,424","3.3%","6.4%","28.0%","17.6%","12.1%","18.5%","14.1%","90.3%","32.6%","135,616","90.5%","38.5%","124,637","93.2%","39.0%","305,140","91.8%","31.3%","167,031","85.2%","25.6%","","30.1%","13.1%","10.1%","4.3%","","36,092","19,412","27,216","32,004","49,481","60,607","","5.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,711","14.5%","26.0%","52.9%","6.6%","347,833","3.3%","6.6%","29.1%","18.3%","10.0%","19.5%","13.3%","90.1%","32.8%","67,270","90.0%","36.1%","60,513","92.4%","34.6%","147,737","91.1%","32.0%","72,313","86.3%","29.7%","","28.4%","10.2%","7.3%","4.3%","","41,683","25,535","31,757","40,272","59,595","74,060","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","58,101","10.1%","22.7%","53.0%","14.3%","384,591","3.4%","6.2%","26.9%","16.9%","14.0%","17.7%","14.9%","90.4%","32.5%","68,346","91.0%","40.9%","64,124","94.0%","43.0%","157,403","92.4%","30.7%","94,718","84.3%","22.5%","","31.7%","15.9%","12.4%","4.3%","","31,004","14,675","23,054","27,912","41,306","54,087","","(X)"
